"Respondent","RLH","brand2","brand3","brand4","brand5","price2","price3","price4","price5"
2,0.4664489054,1.190137791,-1.653661213,-1.578381524,-4.210348536,-1.465490023,-2.200368491,-2.825075647,-3.411972373
4,0.5869462991,2.27888596,-2.379665364,-1.761436603,-3.254314941,-1.318114233,-2.223587018,-2.901007554,-3.762024493
5,0.6469713523,2.160524288,-2.791536293,-0.8187593537,-4.221573271,-1.176047088,-2.014871944,-2.91691231,-3.633490023
6,0.5048960303,1.776666821,-2.025570806,-1.463627018,-4.618207944,-1.241207603,-2.111760956,-2.725827439,-3.349569937
8,0.5949553776,2.177432959,-2.120404492,-1.439779586,-4.533487737,-1.11658056,-2.126099788,-2.791198575,-3.507282348
10,0.5385915794,2.46645711,-2.916892086,-0.6690058434,-4.764270005,-0.8281497142,-1.636319682,-2.575229961,-3.352110526
11,0.7517093061,3.018382046,-2.787554047,-1.558806189,-4.80013039,-1.115528539,-1.962979949,-2.65651722,-3.399580349
12,0.4483274289,0.9479767377,-1.471155154,-0.7463265841,-4.486064505,-1.064957779,-1.996518085,-2.619214623,-3.357585069
13,0.6154761994,1.713068311,-1.993638271,-1.508505308,-4.633656229,-1.174454406,-2.021158693,-2.67456366,-3.372845607
16,0.5906531624,2.300208819,-2.154158247,-1.404183028,-4.695113241,-1.166610073,-2.059158145,-2.715028273,-3.447375663
17,0.5647776283,1.017407163,-2.205971616,-0.1679526871,-4.402886908,-0.9455640822,-1.810528364,-2.589591996,-3.463891803
18,0.4995768731,0.7167984488,-0.9706381484,-1.473978648,-3.90223469,-1.122337002,-2.159909424,-2.806073628,-3.517610716
21,0.8105064872,2.487479148,-2.736728858,-0.9904678225,-4.631149076,-0.9058171149,-1.814086067,-2.65448665,-3.450990122
22,0.6049365379,3.01828612,-3.074604947,-0.6495973159,-4.759906871,-0.9430888114,-1.692837711,-2.532157611,-3.350404466
25,0.6933492123,2.53342138,-2.783305052,-0.7948405281,-4.623979475,-1.059990453,-1.922247344,-2.837653243,-3.568281439
27,0.4106419116,2.314131117,-2.45280414,-0.7657341137,-4.053673552,-0.9719510638,-1.894160302,-2.748477519,-3.535216574
33,0.4605875926,1.016818126,-0.8895210723,-1.617527824,-3.91888706,-1.303898682,-2.188086425,-2.774387084,-3.427399594
36,0.6348315295,1.933601024,-2.335502013,-0.8303278119,-4.737166317,-1.027269219,-1.970558889,-2.730746071,-3.422255559
38,0.6166135214,2.239560198,-2.132302787,-1.362419657,-4.577413865,-1.158550407,-1.898114296,-2.429934034,-3.2928271
40,0.434275258,0.9299506524,-0.8765575149,-1.252810255,-4.720324631,-1.014771807,-1.875890215,-2.477841361,-3.161739463
43,0.5436466163,1.047578775,-1.183853739,-1.214777371,-4.624196689,-1.062572752,-1.933280077,-2.58845058,-3.367446457
44,0.8749704835,2.660385714,-2.577543761,-1.15539529,-4.529543968,-1.144510864,-2.083704045,-2.866100897,-3.589459155
47,0.3993166602,1.112711194,-1.757507645,-0.9608158427,-4.087034144,-1.070435732,-1.997504023,-2.731520954,-3.432434055
51,0.5327397415,2.54280313,-2.859591487,-1.348123756,-3.550624489,-1.235958854,-1.917788491,-2.920142691,-3.716898011
54,0.5159375407,1.585628731,-1.504261531,-1.839835271,-3.984639884,-1.196214835,-2.121055153,-2.813952956,-3.529462752
56,0.5305114607,2.373673658,-2.488825396,-1.094068736,-4.900491675,-0.9436234041,-1.871743301,-2.634238241,-3.233572719
57,0.5390778178,1.96828811,-2.030212261,-1.223360535,-4.813665831,-0.8987498703,-1.771418199,-2.476079885,-3.229273782
61,0.763816527,2.816289162,-3.098247394,-0.949676561,-4.450781073,-1.054274267,-1.872949848,-2.759377458,-3.565672899
65,0.6631675686,3.001518513,-2.884653605,-1.192982568,-4.770983356,-1.06636385,-1.9061194,-2.62747321,-3.379752373
68,0.5003875981,1.696480626,-1.8955655,-0.8608024951,-4.693301836,-1.139671271,-1.917194706,-2.672376619,-3.371672777
70,0.7087699382,1.824205181,-2.579197547,-0.7115272976,-4.145018118,-1.23962331,-2.120888373,-2.905335388,-3.695908485
71,0.8068529325,2.466478364,-2.423108818,-1.221036423,-4.968662274,-1.095179951,-2.008331177,-2.722512689,-3.40676558
73,0.5905786164,2.340199251,-1.823129207,-1.28084288,-4.469589425,-1.201693787,-2.129241646,-2.736603923,-3.483215205
74,0.5411436635,1.767470445,-1.563855237,-1.644959804,-4.470439598,-1.273779184,-2.157779667,-2.767869351,-3.371976418
76,0.757899215,2.886640754,-3.112230296,-0.8998425166,-4.94409973,-1.005955223,-1.792506722,-2.548506536,-3.354581095
77,0.5199782337,2.043045688,-2.290144982,-0.846692627,-4.272058379,-0.8734076,-1.566182216,-2.527097005,-3.496376304
80,0.6904076857,2.435947722,-2.025091609,-1.599181966,-4.885386744,-1.179098883,-2.201796895,-2.779249284,-3.310230693
82,0.4586927688,0.7683914143,-1.310492569,-0.692141569,-4.362721945,-1.360284167,-2.192529077,-2.792520105,-3.422564686
84,0.6940370775,2.501456761,-2.479130387,-1.174210548,-4.951184057,-0.9780181393,-1.78475245,-2.552919232,-3.327579079
85,0.5630841697,3.168231432,-3.121348428,-1.171429061,-4.393769458,-1.129477222,-1.926128622,-2.636672172,-3.410963697
88,0.529763774,2.832921845,-2.491356261,-1.032957366,-4.758944877,-0.8993040753,-1.823164267,-2.594237081,-3.370340989
90,0.6070995114,2.227750219,-2.050427643,-1.694322964,-4.663130581,-1.19191748,-2.054370698,-2.761474872,-3.377855029
94,0.3382973214,1.32659744,-2.116621635,-1.051244141,-3.933456219,-1.070916052,-1.763678575,-2.510376445,-3.421190926
96,0.680497232,2.198251411,-2.678954678,-1.47455196,-4.705575876,-0.8396933835,-1.829686425,-2.56795231,-3.339381183
97,0.7078445938,2.076118573,-2.263265839,-1.123118836,-4.501996347,-1.120557502,-1.994157007,-2.75384774,-3.505097087
103,0.5689129818,1.784591532,-2.585993902,-0.8546677837,-4.328077818,-0.9594918529,-1.77646851,-2.702283232,-3.516405402
111,0.6034907175,2.809551168,-2.356126073,-1.736172709,-4.823420053,-0.9779878515,-1.951079036,-2.605413745,-3.289908914
116,0.6904360342,2.974792801,-2.956452912,-0.7317791172,-4.696131569,-1.136950368,-1.979920635,-2.772339168,-3.468638323
117,0.791898965,2.426588225,-2.225763013,-1.352241387,-4.733633936,-1.264781815,-2.08910856,-2.763327481,-3.512185559
124,0.6432748711,2.348628786,-2.763767153,-1.204723631,-4.887582889,-0.9186292307,-1.754622029,-2.436417953,-3.242618545
128,0.5437718589,1.923261709,-2.8102323,-0.818811928,-4.633722568,-1.067010444,-1.789580474,-2.608398992,-3.316501743
135,0.7006232409,1.683888707,-2.209216641,-0.7095557281,-4.741871421,-0.8456857913,-1.880112932,-2.668347555,-3.445116167
136,0.4872512745,2.29579464,-2.470448688,-0.7870702413,-4.714443792,-0.9784437688,-1.98684393,-2.635943073,-3.31841944
137,0.4394842502,1.010397074,-1.624436103,-0.5634148567,-4.647170712,-1.00433609,-1.858838544,-2.542637876,-3.265882628
139,0.4502743159,2.047791472,-2.646653947,-0.6689374048,-3.91107779,-1.058629055,-1.794420599,-2.714328464,-3.581087654
140,0.4891389139,1.46630308,-1.859263882,-1.23644727,-4.548072083,-0.9544901736,-1.941558709,-2.583131362,-3.329883523
142,0.6567245111,1.393235355,-2.093555911,-0.1321187308,-4.346660637,-1.085027407,-1.967857152,-2.781735599,-3.565735402
147,0.6405135472,1.299106704,-2.050786214,-1.010960907,-4.619232471,-1.127413489,-1.925913353,-2.733892765,-3.443541929
149,0.5116019799,2.841565797,-2.412721807,-1.608016643,-3.883390491,-1.23462552,-2.218287863,-2.954660251,-3.58605689
